# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
2962         	((7.612975e-07 1.064590e-05 2.486274e-25) (1.789804e-06 5.011991e-07 -5.615681e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596885e-06 1.141946e-07 -2.441715e-06) (-7.517987e-08 2.684706e-07 -1.676511e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2963         	((7.630166e-07 1.067501e-05 2.494821e-25) (1.789779e-06 5.011762e-07 -5.648443e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.601252e-06 1.144525e-07 -2.440390e-06) (-7.517642e-08 2.684668e-07 -1.676411e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2964         	((7.744394e-07 1.078865e-05 2.536598e-25) (1.789746e-06 5.011490e-07 -5.762052e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.618297e-06 1.161659e-07 -2.431109e-06) (-7.517235e-08 2.684619e-07 -1.676341e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2965         	((7.726820e-07 1.079034e-05 2.535588e-25) (1.789705e-06 5.011210e-07 -5.772765e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.618552e-06 1.159023e-07 -2.433497e-06) (-7.516815e-08 2.684558e-07 -1.676266e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2966         	((7.694753e-07 1.077807e-05 2.530361e-25) (1.789664e-06 5.010885e-07 -5.766077e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.616711e-06 1.154213e-07 -2.436992e-06) (-7.516327e-08 2.684496e-07 -1.676204e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2967         	((7.663246e-07 1.075890e-05 2.523971e-25) (1.789623e-06 5.010559e-07 -5.744181e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.613836e-06 1.149487e-07 -2.439718e-06) (-7.515839e-08 2.684435e-07 -1.676143e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2968         	((7.649647e-07 1.074889e-05 2.521155e-25) (1.789586e-06 5.010293e-07 -5.725307e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.612333e-06 1.147447e-07 -2.440200e-06) (-7.515439e-08 2.684379e-07 -1.676064e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2969         	((7.656502e-07 1.075997e-05 2.524442e-25) (1.789553e-06 5.010127e-07 -5.729700e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.613996e-06 1.148475e-07 -2.438744e-06) (-7.515191e-08 2.684329e-07 -1.675962e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2970         	((7.668371e-07 1.078959e-05 2.531784e-25) (1.789522e-06 5.010054e-07 -5.761063e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.618439e-06 1.150256e-07 -2.437057e-06) (-7.515080e-08 2.684283e-07 -1.675848e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2971         	((7.664978e-07 1.082240e-05 2.538201e-25) (1.789490e-06 5.010006e-07 -5.804498e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.623360e-06 1.149747e-07 -2.436986e-06) (-7.515009e-08 2.684235e-07 -1.675738e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2972         	((7.628202e-07 1.083646e-05 2.537494e-25) (1.789455e-06 5.009885e-07 -5.835220e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.625469e-06 1.144230e-07 -2.439978e-06) (-7.514828e-08 2.684182e-07 -1.675647e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2973         	((7.560401e-07 1.081798e-05 2.527040e-25) (1.789416e-06 5.009619e-07 -5.832002e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.622697e-06 1.134060e-07 -2.445716e-06) (-7.514428e-08 2.684124e-07 -1.675578e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2974         	((7.481022e-07 1.076804e-05 2.508797e-25) (1.789377e-06 5.009216e-07 -5.789853e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.615206e-06 1.122153e-07 -2.452561e-06) (-7.513825e-08 2.684065e-07 -1.675521e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2975         	((7.415768e-07 1.070250e-05 2.488323e-25) (1.789342e-06 5.008777e-07 -5.722831e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.605375e-06 1.112365e-07 -2.458464e-06) (-7.513165e-08 2.684012e-07 -1.675459e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2976         	((7.379772e-07 1.064139e-05 2.471053e-25) (1.789313e-06 5.008431e-07 -5.654636e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596208e-06 1.106966e-07 -2.462235e-06) (-7.512646e-08 2.683970e-07 -1.675376e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2977         	((7.378346e-07 1.060484e-05 2.461870e-25) (1.789292e-06 5.008259e-07 -5.610657e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.590726e-06 1.106752e-07 -2.463287e-06) (-7.512389e-08 2.683938e-07 -1.675271e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2978         	((7.402802e-07 1.060220e-05 2.462364e-25) (1.789276e-06 5.008241e-07 -5.604031e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.590330e-06 1.110420e-07 -2.462029e-06) (-7.512361e-08 2.683914e-07 -1.675151e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2979         	((7.434980e-07 1.062637e-05 2.469667e-25) (1.789260e-06 5.008270e-07 -5.628810e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.593955e-06 1.115247e-07 -2.459812e-06) (-7.512405e-08 2.683891e-07 -1.675030e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2980         	((7.455106e-07 1.066058e-05 2.478443e-25) (1.789242e-06 5.008225e-07 -5.668038e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.599087e-06 1.118266e-07 -2.458212e-06) (-7.512337e-08 2.683863e-07 -1.674919e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2981         	((7.453773e-07 1.068897e-05 2.484403e-25) (1.789218e-06 5.008038e-07 -5.703431e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.603345e-06 1.118066e-07 -2.458026e-06) (-7.512058e-08 2.683827e-07 -1.674827e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2982         	((7.430875e-07 1.069936e-05 2.484657e-25) (1.789189e-06 5.007728e-07 -5.720193e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.604903e-06 1.114631e-07 -2.459413e-06) (-7.511593e-08 2.683784e-07 -1.674756e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2983         	((7.398114e-07 1.068920e-05 2.479417e-25) (1.789156e-06 5.007366e-07 -5.713119e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.603380e-06 1.109717e-07 -2.461653e-06) (-7.511050e-08 2.683734e-07 -1.674702e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2984         	((7.343109e-07 1.063957e-05 2.462503e-25) (1.789123e-06 5.007021e-07 -5.666105e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.595935e-06 1.101466e-07 -2.466476e-06) (-7.510531e-08 2.683684e-07 -1.674653e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2985         	((7.334422e-07 1.061159e-05 2.455247e-25) (1.789091e-06 5.006723e-07 -5.632553e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.591739e-06 1.100163e-07 -2.466996e-06) (-7.510085e-08 2.683637e-07 -1.674610e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2986         	((7.302432e-07 1.055285e-05 2.436485e-25) (1.789064e-06 5.006498e-07 -5.570880e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.582928e-06 1.095365e-07 -2.469947e-06) (-7.509747e-08 2.683595e-07 -1.674543e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2987         	((7.300939e-07 1.054078e-05 2.433153e-25) (1.789039e-06 5.006329e-07 -5.555272e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.581116e-06 1.095141e-07 -2.469440e-06) (-7.509494e-08 2.683559e-07 -1.674457e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2988         	((7.263766e-07 1.052690e-05 2.424220e-25) (1.789015e-06 5.006202e-07 -5.542603e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.579036e-06 1.089565e-07 -2.470787e-06) (-7.509303e-08 2.683522e-07 -1.674349e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2989         	((7.246729e-07 1.052920e-05 2.422462e-25) (1.788989e-06 5.006084e-07 -5.541875e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.579380e-06 1.087009e-07 -2.471254e-06) (-7.509127e-08 2.683484e-07 -1.674230e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2990         	((7.227601e-07 1.053187e-05 2.420357e-25) (1.788963e-06 5.005945e-07 -5.539309e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.579780e-06 1.084140e-07 -2.471630e-06) (-7.508917e-08 2.683445e-07 -1.674115e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2991         	((7.218425e-07 1.053467e-05 2.419094e-25) (1.788936e-06 5.005767e-07 -5.534601e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.580200e-06 1.082764e-07 -2.471087e-06) (-7.508650e-08 2.683404e-07 -1.674013e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2992         	((7.225599e-07 1.053897e-05 2.419788e-25) (1.788909e-06 5.005558e-07 -5.530883e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.580846e-06 1.083840e-07 -2.469400e-06) (-7.508337e-08 2.683364e-07 -1.673928e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2993         	((7.247384e-07 1.054663e-05 2.422912e-25) (1.788882e-06 5.005336e-07 -5.531462e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.581994e-06 1.087108e-07 -2.466916e-06) (-7.508004e-08 2.683323e-07 -1.673858e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2994         	((7.277581e-07 1.055939e-05 2.428381e-25) (1.788855e-06 5.005121e-07 -5.537962e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.583908e-06 1.091637e-07 -2.464010e-06) (-7.507681e-08 2.683282e-07 -1.673802e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2995         	((7.311338e-07 1.057927e-05 2.436234e-25) (1.788826e-06 5.004927e-07 -5.551451e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.586890e-06 1.096701e-07 -2.460810e-06) (-7.507390e-08 2.683239e-07 -1.673754e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2996         	((7.347315e-07 1.060821e-05 2.446704e-25) (1.788795e-06 5.004758e-07 -5.572824e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.591231e-06 1.102097e-07 -2.457179e-06) (-7.507138e-08 2.683192e-07 -1.673707e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2997         	((7.442962e-07 1.069172e-05 2.475739e-25) (1.788761e-06 5.004622e-07 -5.637721e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.603758e-06 1.116444e-07 -2.447551e-06) (-7.506934e-08 2.683142e-07 -1.673662e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2998         	((7.464393e-07 1.072338e-05 2.484935e-25) (1.788724e-06 5.004517e-07 -5.669391e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.608507e-06 1.119659e-07 -2.445452e-06) (-7.506775e-08 2.683086e-07 -1.673598e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2999         	((7.594714e-07 1.085692e-05 2.529834e-25) (1.788681e-06 5.004385e-07 -5.795033e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.628537e-06 1.139207e-07 -2.433644e-06) (-7.506578e-08 2.683022e-07 -1.673558e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3000         	((7.583892e-07 1.086666e-05 2.530761e-25) (1.788632e-06 5.004230e-07 -5.812480e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.630000e-06 1.137584e-07 -2.435494e-06) (-7.506345e-08 2.682948e-07 -1.673510e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3001         	((7.556530e-07 1.086107e-05 2.527307e-25) (1.788582e-06 5.003995e-07 -5.812499e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.629161e-06 1.133479e-07 -2.439017e-06) (-7.505993e-08 2.682873e-07 -1.673481e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3002         	((7.548156e-07 1.085795e-05 2.528337e-25) (1.788531e-06 5.003742e-07 -5.799442e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.628692e-06 1.132223e-07 -2.440388e-06) (-7.505613e-08 2.682797e-07 -1.673464e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3003         	((7.546487e-07 1.085520e-05 2.528700e-25) (1.788482e-06 5.003561e-07 -5.792827e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.628280e-06 1.131973e-07 -2.440267e-06) (-7.505342e-08 2.682723e-07 -1.673430e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3004         	((7.565305e-07 1.087254e-05 2.535344e-25) (1.788435e-06 5.003471e-07 -5.808138e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.630881e-06 1.134796e-07 -2.438062e-06) (-7.505206e-08 2.682652e-07 -1.673381e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3005         	((7.586364e-07 1.090796e-05 2.545786e-25) (1.788388e-06 5.003468e-07 -5.848176e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.636194e-06 1.137955e-07 -2.435708e-06) (-7.505201e-08 2.682582e-07 -1.673324e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3006         	((7.586731e-07 1.094383e-05 2.554040e-25) (1.788339e-06 5.003484e-07 -5.894452e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.641574e-06 1.138010e-07 -2.435315e-06) (-7.505225e-08 2.682508e-07 -1.673273e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3007         	((7.552324e-07 1.095852e-05 2.553999e-25) (1.788286e-06 5.003423e-07 -5.921712e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.643779e-06 1.132849e-07 -2.437999e-06) (-7.505135e-08 2.682429e-07 -1.673234e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3008         	((7.486914e-07 1.094223e-05 2.543924e-25) (1.788232e-06 5.003230e-07 -5.916472e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.641334e-06 1.123037e-07 -2.443348e-06) (-7.504846e-08 2.682348e-07 -1.673209e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3009         	((7.407216e-07 1.089889e-05 2.526287e-25) (1.788178e-06 5.002929e-07 -5.879613e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.634834e-06 1.111082e-07 -2.449955e-06) (-7.504394e-08 2.682267e-07 -1.673189e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3010         	((7.330896e-07 1.083894e-05 2.505026e-25) (1.788129e-06 5.002613e-07 -5.820745e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.625841e-06 1.099634e-07 -2.456500e-06) (-7.503920e-08 2.682194e-07 -1.673163e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3011         	((7.275608e-07 1.077805e-05 2.485262e-25) (1.788087e-06 5.002385e-07 -5.755956e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.616707e-06 1.091341e-07 -2.461658e-06) (-7.503578e-08 2.682130e-07 -1.673123e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3012         	((7.251419e-07 1.073113e-05 2.471386e-25) (1.788051e-06 5.002298e-07 -5.702804e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.609670e-06 1.087713e-07 -2.464582e-06) (-7.503447e-08 2.682077e-07 -1.673067e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3013         	((7.259128e-07 1.070935e-05 2.466230e-25) (1.788023e-06 5.002327e-07 -5.675492e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.606402e-06 1.088869e-07 -2.464947e-06) (-7.503490e-08 2.682034e-07 -1.672996e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3014         	((7.289616e-07 1.071557e-05 2.469901e-25) (1.787997e-06 5.002395e-07 -5.679090e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.607335e-06 1.093442e-07 -2.463265e-06) (-7.503592e-08 2.681995e-07 -1.672919e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3015         	((7.323386e-07 1.074236e-05 2.478969e-25) (1.787969e-06 5.002426e-07 -5.708087e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.611355e-06 1.098508e-07 -2.460976e-06) (-7.503639e-08 2.681954e-07 -1.672844e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3016         	((7.343199e-07 1.077754e-05 2.489078e-25) (1.787938e-06 5.002377e-07 -5.749946e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.616631e-06 1.101480e-07 -2.459418e-06) (-7.503565e-08 2.681906e-07 -1.672783e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3017         	((7.339039e-07 1.080538e-05 2.495497e-25) (1.787899e-06 5.002243e-07 -5.786361e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.620807e-06 1.100856e-07 -2.459473e-06) (-7.503365e-08 2.681848e-07 -1.672746e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3018         	((7.314226e-07 1.081382e-05 2.495423e-25) (1.787853e-06 5.002044e-07 -5.801650e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.622073e-06 1.097134e-07 -2.461079e-06) (-7.503066e-08 2.681780e-07 -1.672734e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3019         	((7.281798e-07 1.079894e-05 2.488891e-25) (1.787804e-06 5.001803e-07 -5.789146e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.619841e-06 1.092270e-07 -2.463447e-06) (-7.502705e-08 2.681706e-07 -1.672739e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3020         	((7.219378e-07 1.073271e-05 2.466120e-25) (1.787756e-06 5.001546e-07 -5.723461e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.609906e-06 1.082907e-07 -2.469209e-06) (-7.502319e-08 2.681634e-07 -1.672742e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3021         	((7.209252e-07 1.070020e-05 2.457232e-25) (1.787713e-06 5.001301e-07 -5.683558e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.605030e-06 1.081388e-07 -2.469765e-06) (-7.501951e-08 2.681569e-07 -1.672742e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3022         	((7.167367e-07 1.064014e-05 2.436423e-25) (1.787675e-06 5.001140e-07 -5.618065e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596021e-06 1.075105e-07 -2.473020e-06) (-7.501710e-08 2.681512e-07 -1.672710e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3023         	((7.163678e-07 1.063191e-05 2.433819e-25) (1.787641e-06 5.001086e-07 -5.604852e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.594786e-06 1.074552e-07 -2.472675e-06) (-7.501630e-08 2.681462e-07 -1.672652e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3024         	((7.152920e-07 1.063654e-05 2.433279e-25) (1.787606e-06 5.001113e-07 -5.607309e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.595481e-06 1.072938e-07 -2.472513e-06) (-7.501669e-08 2.681409e-07 -1.672576e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3025         	((7.123216e-07 1.064515e-05 2.430638e-25) (1.787569e-06 5.001147e-07 -5.616286e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596772e-06 1.068482e-07 -2.472925e-06) (-7.501721e-08 2.681354e-07 -1.672496e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3026         	((7.110740e-07 1.064868e-05 2.429565e-25) (1.787530e-06 5.001116e-07 -5.617561e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.597302e-06 1.066611e-07 -2.473175e-06) (-7.501675e-08 2.681296e-07 -1.672426e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3027         	((7.104241e-07 1.064601e-05 2.427736e-25) (1.787491e-06 5.000996e-07 -5.610037e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596901e-06 1.065636e-07 -2.473014e-06) (-7.501493e-08 2.681236e-07 -1.672378e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3028         	((7.110150e-07 1.064154e-05 2.426881e-25) (1.787450e-06 5.000807e-07 -5.597551e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596231e-06 1.066522e-07 -2.471871e-06) (-7.501211e-08 2.681176e-07 -1.672350e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3029         	((7.131392e-07 1.064252e-05 2.428869e-25) (1.787411e-06 5.000614e-07 -5.588726e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596379e-06 1.069709e-07 -2.469551e-06) (-7.500922e-08 2.681116e-07 -1.672337e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3030         	((7.163555e-07 1.065463e-05 2.434510e-25) (1.787371e-06 5.000477e-07 -5.591810e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.598194e-06 1.074533e-07 -2.466380e-06) (-7.500715e-08 2.681057e-07 -1.672329e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3031         	((7.201509e-07 1.067980e-05 2.443714e-25) (1.787331e-06 5.000415e-07 -5.609288e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.601969e-06 1.080226e-07 -2.462609e-06) (-7.500622e-08 2.680997e-07 -1.672322e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3032         	((7.241529e-07 1.071708e-05 2.455987e-25) (1.787289e-06 5.000407e-07 -5.639758e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.607562e-06 1.086229e-07 -2.458466e-06) (-7.500610e-08 2.680934e-07 -1.672313e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3033         	((7.338896e-07 1.081158e-05 2.487124e-25) (1.787244e-06 5.000412e-07 -5.718417e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.621737e-06 1.100834e-07 -2.448534e-06) (-7.500618e-08 2.680866e-07 -1.672308e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3034         	((7.356850e-07 1.084319e-05 2.495910e-25) (1.787194e-06 5.000391e-07 -5.751045e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.626478e-06 1.103527e-07 -2.446910e-06) (-7.500587e-08 2.680791e-07 -1.672289e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3035         	((7.481604e-07 1.096735e-05 2.538783e-25) (1.787139e-06 5.000309e-07 -5.865509e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.645102e-06 1.122241e-07 -2.436204e-06) (-7.500463e-08 2.680708e-07 -1.672295e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3036         	((7.468390e-07 1.097229e-05 2.538647e-25) (1.787077e-06 5.000197e-07 -5.878054e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.645844e-06 1.120259e-07 -2.438341e-06) (-7.500296e-08 2.680616e-07 -1.672294e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3037         	((7.442797e-07 1.096351e-05 2.534911e-25) (1.787015e-06 5.000031e-07 -5.874843e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.644526e-06 1.116420e-07 -2.441738e-06) (-7.500047e-08 2.680523e-07 -1.672311e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3038         	((7.421832e-07 1.094926e-05 2.531240e-25) (1.786953e-06 4.999876e-07 -5.858374e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.642388e-06 1.113275e-07 -2.444189e-06) (-7.499815e-08 2.680430e-07 -1.672338e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3039         	((7.445719e-07 1.096345e-05 2.539923e-25) (1.786893e-06 4.999809e-07 -5.858417e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.644517e-06 1.116858e-07 -2.441710e-06) (-7.499714e-08 2.680340e-07 -1.672355e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3040         	((7.463889e-07 1.098233e-05 2.546526e-25) (1.786835e-06 4.999879e-07 -5.875790e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.647350e-06 1.119583e-07 -2.439734e-06) (-7.499818e-08 2.680252e-07 -1.672342e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3041         	((7.485186e-07 1.102008e-05 2.556854e-25) (1.786776e-06 4.999996e-07 -5.919861e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.653013e-06 1.122778e-07 -2.437484e-06) (-7.499994e-08 2.680165e-07 -1.672326e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3042         	((7.484151e-07 1.105799e-05 2.564768e-25) (1.786716e-06 5.000084e-07 -5.971040e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.658698e-06 1.122623e-07 -2.437282e-06) (-7.500126e-08 2.680074e-07 -1.672321e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3043         	((7.439936e-07 1.106972e-05 2.562831e-25) (1.786652e-06 5.000067e-07 -5.998668e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.660458e-06 1.115990e-07 -2.440880e-06) (-7.500101e-08 2.679978e-07 -1.672335e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3044         	((7.361189e-07 1.104417e-05 2.549499e-25) (1.786586e-06 4.999912e-07 -5.984305e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.656626e-06 1.104178e-07 -2.447449e-06) (-7.499868e-08 2.679879e-07 -1.672362e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3045         	((7.272795e-07 1.098971e-05 2.528843e-25) (1.786521e-06 4.999668e-07 -5.933398e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.648457e-06 1.090919e-07 -2.454832e-06) (-7.499503e-08 2.679782e-07 -1.672391e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3046         	((7.198368e-07 1.092336e-05 2.506568e-25) (1.786463e-06 4.999446e-07 -5.863975e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.638504e-06 1.079755e-07 -2.461176e-06) (-7.499169e-08 2.679694e-07 -1.672406e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3047         	((7.150723e-07 1.086147e-05 2.487317e-25) (1.786412e-06 4.999349e-07 -5.796065e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.629220e-06 1.072608e-07 -2.465640e-06) (-7.499024e-08 2.679618e-07 -1.672399e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
