# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
50           	((-3.811307e-06 2.367605e-05 -2.930988e-26) (5.942123e-05 5.302220e-07 -2.380410e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.551408e-06 -5.716960e-07 -7.008947e-06) (-7.953330e-08 8.913185e-06 -3.083546e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
51           	((-3.824281e-06 2.387386e-05 -2.240407e-26) (5.848345e-05 5.292486e-07 -2.327510e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.581079e-06 -5.736422e-07 -6.974543e-06) (-7.938729e-08 8.772518e-06 -3.036327e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
52           	((-3.780900e-06 2.424973e-05 -1.012784e-26) (5.757512e-05 5.283027e-07 -2.350481e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.637459e-06 -5.671350e-07 -6.957203e-06) (-7.924541e-08 8.636268e-06 -2.990355e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
53           	((-3.720158e-06 2.494684e-05 9.606362e-27) (5.669417e-05 5.246146e-07 -2.438558e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.742026e-06 -5.580237e-07 -6.951418e-06) (-7.869219e-08 8.504126e-06 -2.945904e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
54           	((-3.739573e-06 2.506947e-05 9.338489e-27) (5.583917e-05 5.183304e-07 -2.473307e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.760421e-06 -5.609359e-07 -6.976337e-06) (-7.774956e-08 8.375876e-06 -2.903099e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
55           	((-3.827084e-06 2.509629e-05 1.049564e-27) (5.500941e-05 5.124331e-07 -2.493044e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.764443e-06 -5.740626e-07 -7.020753e-06) (-7.686497e-08 8.251411e-06 -2.861722e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
56           	((-3.879548e-06 2.500803e-05 -6.267441e-27) (5.420413e-05 5.086676e-07 -2.474828e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.751204e-06 -5.819321e-07 -7.035253e-06) (-7.630015e-08 8.130619e-06 -2.821506e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
57           	((-3.913215e-06 2.504534e-05 -9.013512e-27) (5.342219e-05 5.063513e-07 -2.449312e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.756801e-06 -5.869822e-07 -7.035708e-06) (-7.595269e-08 8.013328e-06 -2.782340e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
58           	((-3.941410e-06 2.530587e-05 -5.848859e-27) (5.266226e-05 5.041810e-07 -2.422430e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.795881e-06 -5.912116e-07 -7.024589e-06) (-7.562716e-08 7.899339e-06 -2.744215e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
59           	((-3.935342e-06 2.545214e-05 -7.141650e-28) (5.192311e-05 5.011689e-07 -2.424069e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.817821e-06 -5.903012e-07 -7.025259e-06) (-7.517533e-08 7.788466e-06 -2.707190e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
